Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Stolee, Derrick P",MATH 482,26,50%,46%,0%,0%,0%,4%,3.47
"Ma, Xiaoguang",MATH 415,143,34%,42%,13%,8%,4%,0%,2.89
"Ma, Xiaoguang",MATH 213,58,41%,45%,12%,2%,0%,0%,3.23
"Bauer, Robert",MATH 461,59,32%,17%,20%,8%,22%,0%,2.28
"Newmark, Phillip A",MCB 410,37,30%,51%,19%,0%,0%,0%,3.1
"Hsu, Keng Hao",ME 350,227,39%,48%,10%,2%,0%,0%,3.22
"Sherburne, Matthew",MSE 398,27,81%,11%,0%,0%,0%,7%,3.87
"Sherburne, Matthew",MSE 101,41,49%,46%,5%,0%,0%,0%,3.52
"Sherburne, Matthew",MSE 280,32,41%,50%,9%,0%,0%,0%,3.4
"Altstetter, Carl",MSE 445,22,50%,23%,23%,5%,0%,0%,3.18
"Griggs, Joyce L",MUS 102,21,95%,5%,0%,0%,0%,0%,3.86
"Ziegel, Aaron B",MUS 130,844,57%,33%,8%,2%,0%,1%,3.44
"Ziegel, Aaron B",MUS 314,83,41%,45%,12%,2%,0%,0%,3.19
"Ziegel, Aaron B",MUS 414,21,62%,29%,5%,5%,0%,0%,3.48
"Ziegel, Aaron B",MUS 313,270,39%,41%,15%,4%,1%,0%,3.15
"Cayari, Christopher",MUS 243,21,71%,29%,0%,0%,0%,0%,3.59
"Leyva, Jesse J",MUS 271,46,98%,0%,2%,0%,0%,0%,3.95
"Dolan, Thomas J",NPRE 421,105,32%,38%,21%,4%,5%,0%,2.85
"Ellsworth, Timothy R",NRES 100,621,57%,37%,5%,1%,0%,0%,3.5
"Ellsworth, Timothy R",NRES 502,43,93%,7%,0%,0%,0%,0%,3.86
"Darmody, Robert G",NRES 201,260,50%,38%,8%,2%,1%,0%,3.35
"Flint, Courtney G",NRES 287,391,47%,39%,11%,2%,1%,0%,3.28
"O'Neill, Benjamin E",NS 102,22,55%,27%,14%,5%,0%,0%,3.32
"Rabern, Brian",PHIL 101,51,73%,22%,2%,0%,4%,0%,3.5
"Rabern, Brian",PHIL 102,77,75%,16%,8%,1%,0%,0%,3.63
"Rabern, Brian",PHIL 202,33,61%,15%,12%,3%,6%,3%,3.2
"Halfpap, Bradford L",PHYS 101,832,32%,24%,25%,16%,2%,1%,2.66
"Halfpap, Bradford L",PHYS 140,315,58%,25%,13%,3%,1%,0%,3.34
"Halfpap, Bradford L",PHYS 213,63,43%,32%,16%,3%,5%,2%,2.99
"Halfpap, Bradford L",PHYS 214,57,40%,37%,16%,4%,4%,0%,3
"Liss, Tony M",PHYS 496,24,88%,12%,0%,0%,0%,0%,3.78
"Liss, Tony M",PHYS 435,122,43%,44%,10%,2%,0%,2%,3.32
"Liss, Tony M",PHYS 487,66,45%,38%,14%,2%,0%,2%,3.23
"Liss, Tony M",PHYS 486,49,33%,27%,29%,8%,4%,0%,2.78
"Colgrove, Alison",PLPA 204,44,73%,20%,5%,0%,2%,0%,3.54
"Remmel, Megan L",PS 199,23,22%,43%,26%,4%,0%,4%,2.83
"Miller, Steven V",PS 283,116,77%,16%,4%,0%,3%,1%,3.61
"Miller, Steven V",PS 300,26,58%,15%,15%,8%,4%,0%,3.18
"Miller, Steven V",PS 395,51,59%,24%,10%,2%,6%,0%,3.24
"Miller, Steven V",PS 396,112,83%,12%,3%,0%,2%,0%,3.73
"Henehan, Marie T",PS 313,51,14%,69%,16%,0%,2%,0%,2.87
"Miller, Joseph T",PS 343,85,62%,32%,6%,0%,0%,0%,3.6
"Miller, Joseph T",PS 101,107,90%,9%,0%,1%,0%,0%,3.88
"Miller, Joseph T",PS 280,26,77%,12%,12%,0%,0%,0%,3.65
"Tancredy, Caroline M",PSYC 201,441,63%,26%,8%,2%,1%,0%,3.48
"Yeh, Ruth",PSYC 235,126,46%,33%,10%,4%,7%,0%,3.12
"Flores, Luis E",PSYC 238,413,36%,50%,12%,0%,1%,0%,3.19
"Joseph, Nancy",PSYC 238,463,41%,45%,11%,2%,2%,0%,3.21
"Finy, Morgan S",PSYC 238,91,52%,38%,5%,4%,0%,0%,3.34
"Cavallaro, Alexandra",RHET 233,22,59%,36%,0%,0%,5%,0%,3.42
"Cavallaro, Alexandra",RHET 105,109,50%,42%,6%,0%,1%,0%,3.38
"Swenson, Joseph L",RLST 109,51,82%,14%,4%,0%,0%,0%,3.73
"Dillman, Amos P",RLST 110,55,44%,45%,5%,5%,0%,0%,3.24
"Sobh, Aisha L",RLST 214,59,51%,27%,10%,3%,7%,2%,3.13
"Osborne, Lauren E",RLST 260,22,86%,14%,0%,0%,0%,0%,3.89
"Osborne, Lauren E",RLST 223,30,83%,13%,0%,0%,3%,0%,3.74
"Sundaram, Dheepa",RLST 286,98,74%,22%,1%,2%,0%,0%,3.67
"Sundaram, Dheepa",RLST 104,133,61%,23%,14%,0%,0%,2%,3.47
"Walter, Gerald L",RSOC 110,122,68%,22%,8%,0%,2%,0%,3.55
"Jones, Jesse J",RST 110,377,48%,38%,11%,2%,1%,1%,3.29
"DeLuce, Joseph C",RST 120,76,96%,4%,0%,0%,0%,0%,3.95
"Hryhorczuk, Nicholas D",RST 150,68,88%,10%,0%,0%,1%,0%,3.81
"Hryhorczuk, Nicholas D",RST 457,79,94%,6%,0%,0%,0%,0%,3.91
"Frogley, Michael H",RST 199,133,59%,29%,4%,4%,4%,1%,3.33
"Stenport, Anna W",SCAN 492,21,43%,43%,10%,5%,0%,0%,3.18
"Cravens, Jennifer J",SHS 120,3498,68%,23%,5%,1%,2%,0%,3.55
"Cravens, Jennifer J",SHS 514,44,91%,9%,0%,0%,0%,0%,3.89
"Hughes, Ashley R",SHS 150,265,43%,32%,17%,4%,3%,2%,3.1
"Pandya, Pritesh K",SHS 240,115,21%,39%,27%,10%,3%,0%,2.67
"Pandya, Pritesh K",SHS 450,453,18%,37%,28%,12%,6%,0%,2.45
"Ono, Takamitsu",SOC 100,192,61%,32%,6%,1%,1%,0%,3.48
"Ghadge, Ravi",SOC 160,108,62%,20%,15%,0%,2%,1%,3.41
"Allendorf, Keera",SOC 261,70,56%,31%,11%,1%,0%,0%,3.35
"Allendorf, Keera",SOC 280,22,41%,36%,18%,5%,0%,0%,3.11
"Vivoni Gallart, Francisco",SOC 275,45,91%,7%,2%,0%,0%,0%,3.86
"Vivoni Gallart, Francisco",SOC 200,154,71%,25%,4%,0%,0%,0%,3.64
"Lian, Bin",SOC 280,69,28%,30%,19%,10%,12%,1%,2.5
"Lian, Bin",SOC 100,89,55%,31%,11%,1%,0%,1%,3.36
"Balgopal, Pallassana R",SOCW 397,79,37%,59%,1%,1%,1%,0%,3.32
"Schreiber, Jill C",SOCW 427,22,36%,45%,14%,0%,5%,0%,3.02
"Schreiber, Jill C",RLST 110,60,57%,33%,7%,2%,2%,0%,3.4
"Johnson, Jill L",SOCW 519,68,88%,12%,0%,0%,0%,0%,3.85
"Johnson, Jill L",SPED 471,33,79%,21%,0%,0%,0%,0%,3.76
"Johnson, Jill L",SOCW 400,25,96%,4%,0%,0%,0%,0%,3.87
"Waters, Melanie J",SPAN 200,63,21%,52%,16%,8%,3%,0%,2.81
"Waters, Melanie J",SPAN 122,192,18%,42%,21%,11%,7%,0%,2.53
"Hackbarth, Viktoria",SPAN 200,491,58%,33%,7%,2%,1%,0%,3.42
"Hackbarth, Viktoria",SPAN 204,47,60%,21%,11%,4%,4%,0%,3.21
"Pittman, Kristina",SPAN 204,21,67%,19%,10%,5%,0%,0%,3.46
"Pittman, Kristina",SPAN 254,110,49%,45%,4%,2%,0%,0%,3.41
"Pittman, Kristina",SPAN 122,68,29%,43%,18%,9%,1%,0%,2.88
"Shogren, Karrie A",SPED 438,56,91%,7%,2%,0%,0%,0%,3.89
"Shogren, Karrie A",SPED 444,32,94%,6%,0%,0%,0%,0%,3.91
"Shogren, Karrie A",SPED 446,27,74%,22%,0%,0%,0%,4%,3.77
"Zhang, Jingfei",STAT 100,151,76%,16%,6%,1%,1%,0%,3.64
"Bi, Xuan",STAT 200,47,51%,32%,11%,4%,0%,2%,3.35
"Shi, Peibei",STAT 200,46,54%,28%,11%,7%,0%,0%,3.31
"Zhong, Wenxuan",STAT 212,177,69%,20%,5%,3%,2%,1%,3.51
"Zhong, Wenxuan",STAT 428,48,71%,21%,2%,2%,2%,2%,3.62
"Zhong, Wenxuan",STAT 200,27,63%,33%,0%,0%,4%,0%,3.51
"Zhong, Wenxuan",STAT 400,92,54%,34%,11%,0%,1%,0%,3.45
"Ma, Ping",STAT 424,32,84%,3%,9%,0%,0%,3%,3.76
"Ma, Ping",STAT 420,146,64%,33%,0%,1%,1%,0%,3.54
"Ma, Ping",STAT 425,59,90%,7%,0%,0%,3%,0%,3.8
"Ma, Ping",STAT 400,163,56%,37%,6%,1%,0%,1%,3.49
"Qu, Peiyong",STAT 426,64,61%,28%,6%,5%,0%,0%,3.41
"Platt, Stephen R",TAM 252,30,77%,10%,7%,3%,3%,0%,3.43
"Platt, Stephen R",ME 470,263,78%,20%,2%,0%,0%,0%,3.72
"Saintillan, David",TAM 335,141,36%,40%,16%,5%,2%,1%,3.03
"Saintillan, David",TAM 435,75,51%,36%,11%,3%,0%,0%,3.29
"Saintillan, David",TAM 542,34,76%,15%,9%,0%,0%,0%,3.65
"Thompson, Joe B",THEA 103,32,38%,31%,16%,6%,9%,0%,2.81
"Thompson, Joe B",THEA 220,24,42%,38%,12%,0%,8%,0%,2.96
"Thompson, Joe B",THEA 105,32,69%,22%,6%,3%,0%,0%,3.53
"Cooper, David",TRST 410,21,81%,19%,0%,0%,0%,0%,3.76
"Cooper, David",SLAV 120,102,48%,49%,1%,1%,0%,1%,3.48
"Chumachenko, Volodymyr A",UKR 113,237,92%,8%,0%,0%,0%,0%,3.89
"Rahe, Mallory L",UP 116,35,57%,20%,20%,0%,3%,0%,3.25
"Ferguson, Duncan C",VM 603,239,15%,56%,26%,2%,0%,0%,2.85
"Ferguson, Duncan C",VB 619,118,36%,43%,19%,2%,0%,0%,3.13
"Kuhlenschmidt, Mark S",VM 607,242,14%,63%,22%,0%,0%,0%,2.91
"Elliott, Jeffrey P",YDSH 320,22,95%,0%,5%,0%,0%,0%,3.92
"Grant, Stephanie M",ACCY 303,23,52%,30%,17%,0%,0%,0%,3.29
"Uhl, Natalie M",ANTH 143,63,51%,22%,13%,8%,6%,0%,2.97
"Ha, Younhee",BADM 320,38,87%,11%,0%,0%,0%,3%,3.87
"Ha, Younhee",BADM 321,40,90%,10%,0%,0%,0%,0%,3.88
"Cheng, Joseph L",BADM 582,66,32%,68%,0%,0%,0%,0%,3.44
"Cheng, Joseph L",BADM 381,76,36%,58%,5%,0%,0%,1%,3.35
"Tu, Andy",CHEM 103,34,82%,12%,3%,0%,3%,0%,3.7
"Hawkes, Daryl A",CHEM 332,51,59%,29%,12%,0%,0%,0%,3.39
"McConnell, Ryan E",CLCV 102,177,54%,32%,11%,1%,2%,0%,3.31
"McConnell, Ryan E",CLCV 115,117,73%,21%,3%,2%,1%,0%,3.62
"Varava, Kira A",CMN 260,24,21%,38%,29%,8%,4%,0%,2.56
"Varava, Kira A",CMN 112,49,47%,45%,8%,0%,0%,0%,3.36
"Varava, Kira A",CMN 111,46,46%,48%,4%,0%,2%,0%,3.35
"Varava, Kira A",CMN 101,46,54%,24%,13%,2%,7%,0%,3.1
"Zupancic, Heather M",CMN 260,25,48%,20%,24%,0%,8%,0%,2.97
"Zupancic, Heather M",CMN 111,98,73%,24%,2%,0%,0%,0%,3.59
"Di Febo, Joseph",CS 373,42,57%,21%,19%,2%,0%,0%,3.32
"Mansky, William E",CS 421,36,39%,33%,14%,6%,3%,6%,3.07
"Archibald, Renee E",DANC 100,105,71%,22%,5%,0%,2%,0%,3.57
"Zhu, Ji",ECE 313,45,27%,31%,36%,4%,0%,2%,2.8
"Bernotas, David W",ECON 490,28,86%,4%,4%,0%,4%,4%,3.74
"Wilcox, Bryan R",ENG 198,58,91%,9%,0%,0%,0%,0%,3.84
"Zehr, Sarah M",ENG 451,182,82%,13%,2%,4%,0%,0%,3.67
"Kim, Taehyun",FIN 221,26,42%,31%,23%,4%,0%,0%,3.18
"Tallie, Tyrone H",HIST 100,24,92%,8%,0%,0%,0%,0%,3.92
"Greenstein, David E",HIST 273,47,36%,47%,15%,0%,2%,0%,3.03
"Roberto, Keller R",LIS 507,70,94%,4%,0%,1%,0%,0%,3.86
"Kovacs, Diane K",LIS 590,70,96%,4%,0%,0%,0%,0%,3.96
"Vellis, Vyron S",MATH 231,78,18%,36%,23%,9%,10%,4%,2.39
"Liu, Hong",MATH 241,31,32%,42%,23%,0%,3%,0%,2.99
"Vining, Joanne",NRES 472,48,79%,10%,4%,0%,6%,0%,3.56
"Wang, Zhenni",PSYC 238,190,36%,49%,10%,3%,2%,0%,3.13
"Casey, Anne",SOCW 400,23,87%,13%,0%,0%,0%,0%,3.81
"Paceley, Megan S",SOCW 451,29,83%,14%,0%,0%,3%,0%,3.72
"Ward, Thomas",SOCW 525,47,83%,17%,0%,0%,0%,0%,3.76
"Anderson, Aaron T",TAM 212,40,40%,48%,5%,5%,2%,0%,3.18
"Saharan, Ankit",TAM 251,24,42%,25%,25%,8%,0%,0%,3.03
"Saharan, Ankit",CS 105,67,51%,34%,9%,4%,1%,0%,3.26
"Carter, Regina S",AAS 100,47,89%,4%,0%,6%,0%,0%,3.74
"Arnaldo, Constancio",AAS 100,255,73%,21%,4%,1%,1%,0%,3.59
"Doub, James D",ACCY 201,81,35%,47%,17%,0%,0%,1%,3.15
"Pomeroy, Bradley M",ACCY 405,434,55%,41%,3%,0%,0%,1%,3.52
"Bullock, David S",ACE 100,22,41%,32%,14%,14%,0%,0%,2.91
"Ahearn, Deanna C",ACE 346,25,24%,60%,8%,4%,4%,0%,2.92
"Hamilton, Jonathan L",AFRO 101,26,38%,38%,12%,4%,0%,8%,3.19
"Hamilton, Jonathan L",CI 401,42,90%,10%,0%,0%,0%,0%,3.86
"Hamilton, Jonathan L",AFRO 100,51,69%,24%,2%,4%,2%,0%,3.4
"James, Rory G",AFRO 199,130,68%,26%,6%,0%,0%,0%,3.64
"Muhammad, Ray",AFRO 342,127,12%,52%,25%,9%,0%,2%,2.62
"Muhammad, Ray",SOC 273,204,39%,39%,13%,3%,5%,1%,3.02
"Niemerg, Julie A",AGED 499,23,91%,9%,0%,0%,0%,0%,3.87
"Andrews, Krystal",AHS 199,48,96%,0%,4%,0%,0%,0%,3.92
"Zundo, Mary E",AIS 101,36,75%,19%,3%,0%,3%,0%,3.58
"Koelkebeck, Kenneth W",ANSC 363,217,82%,18%,0%,0%,0%,0%,3.82
"Hutjens, Michael F",ANSC 437,21,86%,14%,0%,0%,0%,0%,3.78
"Hutjens, Michael F",ANSC 201,42,67%,29%,5%,0%,0%,0%,3.57
"Hutjens, Michael F",ANSC 400,33,85%,12%,3%,0%,0%,0%,3.78
"Landry, Timothy R",ANTH 103,266,51%,39%,6%,1%,3%,1%,3.37
"Davis, Laura",ANTH 209,279,59%,27%,10%,1%,3%,1%,3.38
"Lugo, Alejandro",ANTH 230,73,55%,21%,14%,3%,8%,0%,3.05
"Lugo, Alejandro",ANTH 466,42,81%,19%,0%,0%,0%,0%,3.76
"Lugo, Alejandro",ANTH 103,253,54%,34%,11%,0%,0%,0%,3.36
"Yaseen, Nabeel M",ARAB 201,38,37%,32%,26%,0%,5%,0%,3.03
"Kaha, Arthur L",ARCH 373,33,52%,39%,6%,3%,0%,0%,3.34
"Hall, Gaines B",ARCH 501,353,50%,44%,6%,0%,0%,0%,3.4
"Wiley, Brian M",ARTD 216,32,72%,12%,9%,0%,0%,6%,3.62
"Rubin, Tammie R",ARTF 103,21,90%,0%,5%,0%,5%,0%,3.65
"Herrero Matoses, Fernando",ARTH 113,22,82%,14%,5%,0%,0%,0%,3.68
"Herrero Matoses, Fernando",ARTH 111,44,64%,23%,5%,9%,0%,0%,3.35
"Hayes, Brett P",ASTR 100,139,40%,35%,19%,4%,2%,0%,3.04
"Baidya Roy, Somnath",ATMS 302,119,29%,34%,18%,10%,7%,2%,2.69
"Baidya Roy, Somnath",ATMS 305,68,47%,26%,15%,3%,9%,0%,2.97
"Sementi, Darcy A",BADM 261,61,98%,2%,0%,0%,0%,0%,3.98
"Sementi, Darcy A",BADM 199,172,98%,2%,0%,0%,0%,0%,3.98
"Yuan, Hong",BADM 322,336,45%,44%,10%,0%,0%,0%,3.31
"Yuan, Hong",BADM 529,41,80%,20%,0%,0%,0%,0%,3.75
"Lanesskog, Stig",BADM 445,201,61%,38%,0%,1%,0%,0%,3.53
"Su, Chi-Ting",BADM 449,44,82%,16%,2%,0%,0%,0%,3.71
"Liu, Chih I",BADM 449,178,85%,11%,1%,0%,2%,0%,3.72
"Mawdsley, John K",BADM 449,44,95%,5%,0%,0%,0%,0%,3.8
"Monroe, Kent B",BADM 520,106,69%,31%,0%,0%,0%,0%,3.61
"Shaw, Michael J",BADM 559,179,78%,22%,0%,0%,0%,0%,3.72
"Shaw, Michael J",MBA 505,51,86%,14%,0%,0%,0%,0%,3.82
"Wetter, Timothy S",BTW 250,23,61%,39%,0%,0%,0%,0%,3.57
"Adamczyk, Laura",BTW 250,67,57%,39%,4%,0%,0%,0%,3.54
"Smith, Julia M",BTW 271,23,65%,35%,0%,0%,0%,0%,3.61
"Smith, Julia M",BTW 250,43,53%,44%,0%,0%,2%,0%,3.43
"Srinivasan, Venkatraman",CEE 450,37,65%,30%,5%,0%,0%,0%,3.49
"Lin, Yu-Feng",CEE 457,38,61%,34%,5%,0%,0%,0%,3.48
"Borello, Daniel J",CEE 460,69,41%,39%,17%,3%,0%,0%,3.13
"Richardson, Stacie L",CHEM 101,323,27%,43%,24%,3%,2%,2%,2.89
"He, Junwen",CHEM 103,124,76%,15%,6%,2%,2%,0%,3.59
"Lee, SuHak",CHEM 103,248,80%,15%,2%,1%,1%,1%,3.7
"Liu, Wei",CHEM 103,256,82%,9%,4%,2%,2%,1%,3.67
"Nguyen, Yen H",CHEM 103,474,78%,15%,4%,1%,2%,0%,3.65
"Ghosh, Archit K",CHEM 103,215,80%,14%,4%,0%,1%,0%,3.72
"Phung, Dinh P",CHEM 103,130,86%,10%,2%,1%,2%,0%,3.77
"Papadopoulos, Theodore",CHEM 103,33,79%,15%,3%,0%,0%,3%,3.73
"Dickens, John D",CHEM 105,171,21%,46%,26%,3%,4%,0%,2.78
"Stone, Robert F",CHEM 233,463,27%,59%,11%,1%,1%,0%,3.1
"Lin, Xuezhen",CHIN 203,21,48%,48%,5%,0%,0%,0%,3.4
"Morey, Patricia L",CHLH 199,25,92%,8%,0%,0%,0%,0%,3.95
"Buki, Lydia",CHLH 404,21,67%,29%,5%,0%,0%,0%,3.59
"Remmert, David M",CHLH 410,24,75%,25%,0%,0%,0%,0%,3.75
"Pianfetti, Evangeline S",CI 335,21,90%,10%,0%,0%,0%,0%,3.89
"Pianfetti, Evangeline S",EPSY 556,21,86%,14%,0%,0%,0%,0%,3.81
"Pianfetti, Evangeline S",SPED 312,21,62%,38%,0%,0%,0%,0%,3.52
"Eiland, Michael D",CI 430,75,63%,37%,0%,0%,0%,0%,3.72
"Thompson, Bradley L",CI 430,97,79%,21%,0%,0%,0%,0%,3.83
"Namikawa, Takayuki",CI 432,56,96%,4%,0%,0%,0%,0%,3.96
"Kinney, Angela M",CLCV 100,34,53%,26%,9%,9%,3%,0%,3.15
"Kinney, Angela M",CLCV 115,30,63%,33%,3%,0%,0%,0%,3.6
"Keenan-Jones, Duncan",CLCV 444,21,43%,43%,5%,5%,5%,0%,3
"Cooper, Katherine",CMN 496,27,56%,37%,4%,4%,0%,0%,3.43
"Cooper, Katherine",CMN 101,67,73%,24%,3%,0%,0%,0%,3.57
"Cooper, Katherine",CMN 396,24,54%,21%,17%,8%,0%,0%,3.18
"Cooper, Katherine",CMN 113,29,59%,41%,0%,0%,0%,0%,3.51
"Davis, Adam",CPSC 437,31,84%,16%,0%,0%,0%,0%,3.89
"Brown, Howard M",CPSC 593,63,84%,13%,3%,0%,0%,0%,3.81
"Woodbury, Marsha C",CS 210,384,83%,14%,2%,1%,1%,0%,3.76
"Hinrichs, Susan",CS 461,476,28%,47%,23%,1%,0%,1%,3.03
"Hinrichs, Susan",CS 460,74,81%,9%,5%,3%,1%,0%,3.57
"Totzke, Tami R",DANC 100,29,93%,3%,0%,0%,0%,3%,3.95
"Totzke, Tami R",DANC 101,27,70%,26%,0%,0%,0%,4%,3.73
"Moses, Steven",DANC 101,25,84%,12%,0%,0%,4%,0%,3.68
"Jones, Douglas L",ECE 199,27,33%,44%,15%,4%,4%,0%,2.95
"Jones, Douglas L",ECE 210,62,31%,35%,26%,5%,3%,0%,2.81
"Harris, Kyle A",ECE 206,24,50%,46%,0%,0%,0%,4%,3.49
"Fellows, Kurt M",ECE 206,25,56%,44%,0%,0%,0%,0%,3.56
"O'Brien, William D",ECE 210,61,21%,33%,36%,5%,3%,2%,2.53
"O'Brien, William D",ECE 473,24,42%,38%,12%,0%,4%,4%,3.06
"O'Brien, William D",ECE 313,25,16%,16%,52%,12%,4%,0%,2.27
"Ma, Chao",ECE 311,50,50%,32%,16%,2%,0%,0%,3.25
"Heil, Philip E",ECE 329,48,19%,42%,33%,2%,2%,2%,2.7
"Frank, Matthew I",ECE 511,27,78%,22%,0%,0%,0%,0%,3.78
"Soppelsa, Maria E",ECON 202,378,32%,36%,22%,8%,2%,1%,2.9
"Jiang, Ning",ECON 202,284,31%,40%,23%,5%,1%,1%,2.96
"Bonilla Mejia, Leonardo",ECON 302,144,21%,44%,22%,8%,4%,1%,2.69
"Davidson, Frederick G",EIL 422,48,94%,6%,0%,0%,0%,0%,3.92
"Mohamed, Feisal",ENGL 101,46,24%,59%,9%,4%,2%,2%,3
"Mohamed, Feisal",ENGL 418,58,26%,38%,28%,3%,3%,2%,2.78
"Sheets, Frank R",ENGL 102,51,43%,37%,12%,0%,4%,4%,3.14
"Sheets, Frank R",ENGL 241,52,35%,35%,19%,4%,8%,0%,2.88
"Sheets, Frank R",BTW 250,68,87%,13%,0%,0%,0%,0%,3.77
"Sheets, Frank R",ENGL 242,21,71%,24%,0%,0%,5%,0%,3.51
"Sheets, Frank R",ENGL 109,22,64%,23%,5%,0%,5%,5%,3.44
"Skwarczek, Katherine A",ENGL 104,69,51%,39%,7%,0%,1%,1%,3.36
"Skwarczek, Katherine A",ENGL 200,56,71%,21%,4%,0%,4%,0%,3.41
"Skwarczek, Katherine A",ENGL 115,28,54%,32%,11%,4%,0%,0%,3.36
"Skwarczek, Katherine A",ENGL 109,23,74%,22%,4%,0%,0%,0%,3.65
"Wall, Stephanie M",ENGL 109,22,55%,23%,23%,0%,0%,0%,3.3
"Heath, Erin C",ENGL 200,26,62%,27%,4%,0%,8%,0%,3.18
"Heath, Erin C",ENGL 104,112,52%,30%,5%,4%,9%,0%,3.05
"Haynes, Robert",ENGL 251,30,30%,33%,33%,3%,0%,0%,2.79
"Haynes, Robert",RHET 105,88,7%,57%,30%,5%,2%,0%,2.57
"Lim, Youn Seon",EPSY 220,142,83%,8%,5%,0%,3%,1%,3.7
"Lee, Eun Sul",EPSY 220,23,74%,26%,0%,0%,0%,0%,3.81
"Perry, Michelle",EPSY 400,71,83%,14%,3%,0%,0%,0%,3.79
"Khuri, M L",EPSY 420,125,65%,30%,2%,1%,1%,1%,3.61
"Bullock, Cheryl D",EPSY 474,25,96%,4%,0%,0%,0%,0%,3.96
"Robinson, Joseph P",EPSY 580,156,74%,22%,2%,0%,1%,1%,3.68
"Robinson, Joseph P",EPSY 480,36,92%,8%,0%,0%,0%,0%,3.84
"Lynge, Morgan J",FIN 561,92,50%,43%,7%,0%,0%,0%,3.39
"Lynge, Morgan J",FIN 461,83,37%,29%,22%,10%,2%,0%,2.82
"Charrat, Priscilla C",FR 101,23,43%,35%,9%,9%,0%,4%,3.08
"Ruane, Aileen R",FR 101,21,14%,48%,24%,0%,14%,0%,2.44
"Hauser, Sarah A",FR 103,21,48%,19%,24%,10%,0%,0%,3.06
"Hauser, Sarah A",FR 101,46,41%,28%,20%,11%,0%,0%,3.02
"Golato, Peter S",FR 134,21,33%,52%,14%,0%,0%,0%,3.24
"Kremsner, Verena",GER 101,23,74%,22%,4%,0%,0%,0%,3.67
"Hansen, Lauren M",GER 104,21,43%,43%,10%,5%,0%,0%,3.27
"Hansen, Lauren M",GER 102,22,41%,50%,5%,0%,5%,0%,3.17
"Russ, Laura W",GLBL 100,115,48%,43%,9%,0%,1%,0%,3.34
"Rudasill, Lynne M",GLBL 296,28,64%,32%,4%,0%,0%,0%,3.55
"West, Lori",GS 101,243,55%,19%,8%,6%,12%,0%,2.96
"Mulvaney, Carrie A",GS 101,340,69%,21%,6%,3%,1%,0%,3.56
"Puente, Sylvia",GS 101,195,75%,16%,5%,2%,2%,0%,3.59
"Hazen, Meghan",GS 101,365,68%,20%,7%,3%,2%,0%,3.46
"Mattson, Rachel L",GWS 255,24,79%,8%,4%,0%,4%,4%,3.55
"Belton, Frances E",HDFS 120,49,86%,12%,0%,0%,2%,0%,3.69
"Haselschwerdt, Megan L",HDFS 340,134,77%,19%,4%,1%,0%,0%,3.71
"Wilkins, Tamekia R",HDFS 401,51,63%,31%,6%,0%,0%,0%,3.58
"Crossman, Kimberly A",HDFS 425,124,84%,7%,4%,3%,0%,2%,3.71
"Burcica, Pompilia V",HIST 100,42,29%,40%,24%,7%,0%,0%,2.93
"Cook, Karoline P",HIST 105,84,56%,36%,5%,1%,2%,0%,3.41
"Frank, Mark E",HIST 120,183,52%,36%,7%,3%,2%,0%,3.32
"Feng, Jia",HIST 120,21,38%,57%,5%,0%,0%,0%,3.3
"Chiang, I-In",HIST 120,21,52%,33%,10%,5%,0%,0%,3.25
"Bruce, Stephen A",HIST 142,69,16%,55%,25%,3%,1%,0%,2.78
"Kurhajec, Anna L",HIST 251,93,13%,57%,30%,0%,0%,0%,2.8
"Kurhajec, Anna L",HIST 273,88,48%,48%,5%,0%,0%,0%,3.41
"Kurhajec, Anna L",HIST 172,144,28%,56%,17%,0%,0%,0%,3.12
"Smith, Martin C",HIST 274,40,58%,28%,5%,0%,10%,0%,3.09
"Hitchins, Keith",HIST 466,21,48%,38%,10%,0%,5%,0%,3.22
"Peng, Jiming",IE 400,21,57%,33%,10%,0%,0%,0%,3.49
"Peng, Jiming",IE 524,27,48%,37%,15%,0%,0%,0%,3.32
"Vitosky, Caitlin L",KIN 104,1113,92%,4%,2%,0%,1%,1%,3.85
"Vitosky, Caitlin L",KIN 249,160,55%,35%,4%,5%,1%,0%,3.38
"Vitosky, Caitlin L",KIN 142,255,49%,34%,8%,4%,4%,1%,3.15
"Vitosky, Caitlin L",CLCV 115,30,60%,33%,7%,0%,0%,0%,3.53
"Martindale, Alan R",KIN 120,40,12%,52%,20%,5%,10%,0%,2.52
"Mercer, John W",KIN 268,58,74%,22%,3%,0%,0%,0%,3.7
"Boiarskaia, Elena",KIN 401,33,73%,18%,9%,0%,0%,0%,3.6
"Inoue, Misa",LA 233,23,17%,65%,17%,0%,0%,0%,3.09
"Bartlett, Timothy A",LA 250,25,68%,28%,0%,4%,0%,0%,3.53
"Bartlett, Timothy A",LA 335,25,44%,56%,0%,0%,0%,0%,3.39
"Kim, Jinki",LA 342,101,24%,51%,23%,2%,0%,0%,2.94
"Kim, Jinki",LA 343,31,13%,77%,10%,0%,0%,0%,3.05
"Ulen, Thomas S",LAW 689,47,43%,57%,0%,0%,0%,0%,3.47
"Ulen, Thomas S",LAW 792,38,84%,13%,0%,0%,0%,3%,3.8
"Mool, Deanna S",LAW 792,23,48%,43%,4%,0%,0%,4%,3.38
"Rubin, Audrey H",LAW 792,26,31%,62%,8%,0%,0%,0%,3.28
